-29.145,1.5276,314.83
-30.371,0.67984,315.71
-31.76,0.15008,316.6
-33.218,-0.061815,317.51
-34.703,-0.10861,318.4
-36.187,-0.13302,319.3
-37.689,-0.097553,320.16
-39.184,-0.058248,321.03
-40.67,-0.0083042,321.92
-42.146,0.054567,322.83
-43.611,0.13654,323.75
-45.075,0.21711,324.67
-46.544,0.27421,325.58
-48.009,0.33905,326.51
-49.396,0.47147,327.53
-50.805,0.58418,328.54
-52.213,0.70239,329.54
-53.623,0.8196,330.54
-55.037,0.9348,331.53
-56.46,1.048,332.51
-57.895,1.1603,333.47
-59.329,1.2664,334.44
-60.713,1.4112,335.47
-62.116,1.7332,336.43
-63.462,2.2002,337.42
-64.781,2.7708,338.39
-66.079,3.4221,339.33
-67.325,4.1521,340.29
-68.538,4.9102,341.26
-69.737,5.6746,342.25
-70.936,6.4305,343.25
-72.134,7.1794,344.25
-73.321,7.8786,345.3
-74.516,8.6042,346.32
-75.695,9.3385,347.36
-76.869,10.07,348.4
-78.002,10.803,349.48
-79.135,11.531,350.57
-80.282,12.265,351.64
-81.433,12.996,352.71
-82.585,13.732,353.78
-83.737,14.468,354.84
-84.892,15.2,355.9
-86.049,15.931,356.96
-87.21,16.652,358.03
-88.366,17.382,359.09
-89.52,18.116,360.15
-90.672,18.851,361.22
-91.824,19.587,362.28
-92.98,20.317,363.35
-94.136,21.047,364.41
-95.29,21.783,365.47
-96.444,22.517,366.53
-97.6,23.247,367.6
-98.754,23.981,368.66
-99.909,24.715,369.72
-101.06,25.452,370.78
-102.22,26.188,371.85
-103.37,26.924,372.91
-104.52,27.654,373.97
-105.68,28.382,375.03
-106.84,29.116,376.1
-107.99,29.849,377.16
-109.15,30.583,378.22
-110.3,31.317,379.28
